"Activation","Activation"
"Please buy additional domains","Please buy additional domains"
"Please enter a valid key","Please enter a valid key"
"Activation Key","Activation Key"
"Select Websites","Select Websites"
"General","General"
"Enable ProCart","Enable ProCart"
"Show Confirmation Window","Show Confirmation Window"
"Auto Hide Window, seconds","Auto Hide Window, seconds"
"Add to Cart Effect","Add to Cart Effect"
"Ajax Window","Ajax Window"
"Slide","Slide"
"Change Qty Settings","Change Qty Settings"
"Change Qty Type","Change Qty Type"
"Arrows (Top/Bottom)","Arrows (Top/Bottom)"
"Arrows (Left/Right)","Arrows (Left/Right)"
"Buttons (Top/Bottom)","Buttons (Top/Bottom)"
"Buttons (Left/Right)","Buttons (Left/Right)"
"Arrows/Buttons Color","Arrows/Buttons Color"
"Change Qty on Category Page","Change Qty on Category Page"
"Change Qty on Product Page","Change Qty on Product Page"
"Change Qty in My Cart Block","Change Qty in My Cart Block"
"Change Qty on Cart Page","Change Qty on Cart Page"
"Ajax Window Settings","Ajax Window Settings"
"Ajax Loader View","Ajax Loader View"
"Image Alignment","Image Alignment"
"Left","Left"
"Right","Right"
"Top","Top"
"Bottom","Bottom"
"Background Color","Background Color"
"Border Color","Border Color"
"Widow Width, px","Widow Width, px"
"Widow Height, px","Widow Height, px"
"Ajax Loader Text","Ajax Loader Text"
"Error change qty.","Error change qty."
"Cannot update shopping cart.","Cannot update shopping cart."
"Disable Shopping Cart Page","Disable Shopping Cart Page"
"Continue Shopping","Continue Shopping"
"or","or"
"Go to Shopping Cart","Go to Shopping Cart"
"Proceed to Checkout","Proceed to Checkout"
"was","was"
"were","were"
"added to your cart.","added to your cart."
"Add","Add"
"Subtract","Subtract"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The requested quantity for %s is not available.","The requested quantity for %s is not available."
"Confirmation Window Settings","Confirmation Window Settings"
"Continue Shopping Button Color","Continue Shopping Button Color"
"Cart/Checkout Button Color","Cart/Checkout Button Color"
"Border Size, px","Border Size, px"
"Background View","Background View"
"Redirect Customer to","Redirect Customer to"
"Shopping Cart","Shopping Cart"
"None","None"
"Black","Black"
"Blue","Blue"
"Brown","Brown"
"Gray","Gray"
"Green","Green"
"Light-Blue","Light-Blue"
"Light-Green","Light-Green"
"Orange","Orange"
"Red","Red"
"Pink","Pink"
"Violet","Violet"
"Yellow","Yellow"
"Updating, please wait...","Updating, please wait..."